Site,STRAT_EC,LAT,LON
GB1,3.2,47.15475,-91.491891
GB2,14.6,47.155165,-91.490534
GB3,21,47.155127,-91.490253
GB4,26.7,47.15491,-91.490019
GB5,42.3,47.154165,-91.487777
GB6,83,47.15336,-91.485621
GB7,177.8,47.149802,-91.481872
GB8,187.9,47.149582,-91.481313
GB9,228.8,47.149331,-91.4773
GB10,230.4,47.148934,-91.477119
GB11,233.1,47.148755,-91.477066
GB12,233.4,47.148524,-91.477115
GB13,235.1,47.148449,-91.476736
GB14,238.9,47.148462,-91.476744
GB15,243.3,47.148164,-91.474965
GB16,244.3,47.148225,-91.474863
GB17,244.9,47.148139,-91.474977
GB18,248.6,47.147425,-91.4746
GB19,250.1,47.145559,-91.475562
GB20,262.8,47.145071,-91.474812
GB21,279.3,47.14462,-91.473854
GB22,284,47.144519,-91.473793
GB23,286.1,47.143031,-91.47313
GB24,287.1,47.143173,-91.472403
GB25,296.1,47.143303,-91.472447
GB26,302.1,47.142105,-91.46713
GB27,303.9,47.142345,-91.46745
GB28,306.3,47.142595,-91.467504
GB29,310.4,47.143314,-91.467538
GB30,321.3,47.143413,-91.468487
GB31,415.8,47.137518,-91.459532
GB32,444.35,47.140449,-91.455531